Experiment,Time Step,Input String,Uniform Entropy,Board Entropy,Herding
1,1,,6.643856189774724,5.203856189774727,0.21674159687806616
1,2,,6.643856189774724,5.133660689688187,0.22730707242140713
1,3,,6.643856189774724,5.118562939644918,0.22957951023643763
1,4,,6.643856189774724,5.053660689688187,0.2393482722479664
1,5,,6.643856189774724,5.068758439731456,0.2370758344329359
1,6,,6.643856189774724,5.363856189774725,0.19265919722494784
1,7,,6.643856189774724,5.348758439731457,0.19493163503997835
1,8,,6.643856189774724,5.1487584397314565,0.22503463460637652
1,9,,6.643856189774724,5.213660689688186,0.21526587259484808
1,10,,6.643856189774724,5.1087584397314565,0.23105523451965615
1,11,,6.643856189774724,5.053660689688187,0.2393482722479664
1,12,,6.643856189774724,5.268758439731456,0.20697283486653772
1,13,,6.643856189774724,5.148758439731457,0.2250346346063764
1,14,,6.643856189774724,5.293660689688186,0.20322467276828882
1,15,,6.643856189774724,5.228758439731456,0.21299343477981736
1,16,,6.643856189774724,5.283856189774725,0.2047003970515071
1,17,,6.643856189774724,5.308758439731456,0.2009522349532581
1,18,,6.643856189774724,5.093660689688186,0.23332767233468688
1,19,,6.643856189774724,5.253660689688187,0.20924527268156834
1,20,,6.643856189774724,5.268758439731456,0.20697283486653772
1,21,,6.643856189774724,5.243856189774725,0.21072099696478674
1,22,,6.643856189774724,5.283856189774725,0.2047003970515071
1,23,,6.643856189774724,5.293660689688187,0.2032246727682887
1,24,,6.643856189774724,5.283856189774726,0.204700397051507
1,25,,6.643856189774724,5.363856189774726,0.19265919722494773
1,26,,6.643856189774724,5.078562939644918,0.23560011014971727
1,27,,6.643856189774724,5.308758439731456,0.2009522349532581
1,28,,6.643856189774724,5.053660689688187,0.2393482722479664
1,29,,6.643856189774724,5.188758439731457,0.21901403469309688
1,30,,6.643856189774724,5.133660689688187,0.22730707242140713
1,31,,6.643856189774724,5.323856189774725,0.19867979713822748
1,32,,6.643856189774724,5.0687584397314565,0.23707583443293578
1,33,,6.643856189774724,5.243856189774725,0.21072099696478674
1,34,,6.643856189774724,5.443856189774726,0.18061799739838846
1,35,,6.643856189774724,5.093660689688187,0.23332767233468676
1,36,,6.643856189774724,5.013660689688186,0.24536887216124614
1,37,,6.643856189774724,5.118562939644918,0.22957951023643763
1,38,,6.643856189774724,5.063465189601649,0.23787254796474788
1,39,,6.643856189774724,5.1887584397314575,0.21901403469309677
1,40,,6.643856189774724,5.108758439731457,0.23105523451965604
1,41,,6.643856189774724,5.403856189774726,0.1866385973116681
1,42,,6.643856189774724,5.148758439731457,0.2250346346063764
1,43,,6.643856189774724,5.1087584397314565,0.23105523451965615
1,44,,6.643856189774724,5.1887584397314575,0.21901403469309677
1,45,,6.643856189774724,5.363856189774725,0.19265919722494784
1,46,,6.643856189774724,5.268758439731455,0.20697283486653784
1,47,,6.643856189774724,5.2136606896881865,0.21526587259484797
1,48,,6.643856189774724,5.228758439731456,0.21299343477981736
1,49,,6.643856189774724,5.443856189774727,0.18061799739838835
1,50,,6.643856189774724,5.093660689688186,0.23332767233468688
